borough,neighborhood,building_class_category,tax_class_at_present,block,lot,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date
Bronx,Bathgate,01 One Family Dwellings,1,3046,40,A1,2073 Bathgate Avenue,NA,10457,1,0,1,1933,1344,1899,1,A1,425000,2024-06-27T00:00:00Z
Bronx,Bathgate,01 One Family Dwellings,1,3050,91,A9,503 East 182 Street,NA,10457,1,0,1,1960,1705,1901,1,A9,515000,2024-04-11T00:00:00Z
Bronx,Bathgate,01 One Family Dwellings,1,3053,103,A1,2327 Bassford Ave,NA,10458,1,0,1,913,1248,1901,1,A1,413000,2024-08-06T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,2904,22,B9,454 East 172nd St,NA,10457,2,0,2,1658,1428,1901,1,B9,500000,2024-02-08T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,2912,117,B1,1538 Washington Avenue,NA,10457,2,0,2,2000,2400,1993,1,B1,750000,2024-05-24T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,2912,144,B1,3813 3 Avenue,NA,10457,2,0,2,2000,2400,1993,1,B1,763000,2023-09-07T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,2912,150,B1,521 East 171st Street,NA,10457,2,0,2,2000,2400,1993,1,B1,835000,2024-05-10T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,2927,125,B1,1477 Crotona Place,NA,10456,2,0,2,1900,2394,1994,1,B1,820000,2023-11-17T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3030,202,B3,4465 Park Avenue,NA,10457,2,0,2,1569,1497,1899,1,B3,380000,2024-04-25T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3046,52,B3,2047 Bathgate Avenue,NA,10457,2,0,2,2329,1431,1901,1,B3,57000,2023-10-26T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3050,64,B2,506 East 183,NA,10458,2,0,2,1316,2112,1901,1,B2,494529,2024-03-28T00:00:00Z
Bronx,Bathgate,02 Two Family Dwellings,1,3053,15,B2,2305 Bathgate Avenue,NA,10458,2,0,2,2358,2652,1901,1,B2,470000,2024-03-14T00:00:00Z
Bronx,Bathgate,03 Three Family Dwellings,1,3031,145,C0,412 East 187,NA,10458,3,0,3,1784,2302,2004,1,C0,900000,2023-10-26T00:00:00Z
Bronx,Bathgate,03 Three Family Dwellings,1,3041,9,C0,448 Cyrus Place,NA,10458,3,0,3,2500,1960,1910,1,C0,620000,2023-09-12T00:00:00Z
Bronx,Bathgate,03 Three Family Dwellings,1,3047,29,C0,2108 Bathgate,NA,10457,3,0,3,1650,3316,2005,1,C0,885000,2024-03-15T00:00:00Z
Bronx,Bathgate,07 Rentals - Walkup Apartments,2B,2924,6,C1,1874 Bathgate Avenue,NA,10457,7,0,7,1628,5184,1931,2,C1,890000,2023-09-21T00:00:00Z
Bronx,Bathgate,07 Rentals - Walkup Apartments,2,3030,141,C1,2248 Webster Avenue,NA,10457,27,0,27,3690,16120,1913,2,C1,1950000,2024-07-30T00:00:00Z
Bronx,Bathgate,21 Office Buildings,4,2923,31,O7,4133 3 Avenue,NA,10457,0,1,1,8858,7592,1931,4,O7,7500000,2024-07-01T00:00:00Z
Bronx,Bathgate,22 Store Buildings,4,3030,152,K1,2268 Webster Avenue,NA,10457,0,1,1,4260,3820,1931,4,K1,1300000,2024-08-08T00:00:00Z
Bronx,Bathgate,22 Store Buildings,4,3043,77,K4,521 East Tremont Avenue,NA,10457,0,7,7,8560,13757,1931,4,K4,8225000,2024-04-16T00:00:00Z
Bronx,Bathgate,22 Store Buildings,4,3043,80,K1,513 East Tremont Avenue,NA,10457,0,3,3,5698,5698,1988,4,K1,8225000,2024-04-16T00:00:00Z
Bronx,Bathgate,22 Store Buildings,4,3052,11,K1,4551 Third Avenue,NA,10458,0,3,3,5483,2680,1924,4,K1,2050000,2023-12-21T00:00:00Z
